timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:45,0;165;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:45,2;166;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:45,4;167;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:45,6;168;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:45,8;169;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,0;170;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,2;171;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,4;172;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,6;173;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,7;174;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:46,9;175;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:47,1;176;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:47,3;177;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:47,5;178;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:47,7;179;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
